ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment_next_month
40,890910,1,2,2,22,1,-1,2,0,1,0,0,23510,149369,126209,82711,71626,84878,12115,81889,49104,121237,97033,195713,1
41,404681,1,1,2,47,0,2,0,-1,0,-1,1,172070,30448,179917,26385,57660,57056,39062,53551,172693,56273,104792,180795,0
42,169503,1,1,3,62,3,0,3,0,5,1,1,187918,26172,189004,169230,180858,158562,22911,142628,77231,91878,186749,3631,0
43,674811,1,1,3,22,1,0,0,0,1,0,0,94071,173946,92124,154091,132997,19975,104061,158670,68388,4895,180913,137244,0
44,547035,2,3,2,46,0,4,0,1,0,3,4,6640,7657,91659,18639,117832,157795,32556,142635,16014,119968,177404,42080,0
45,668143,1,2,1,37,-1,0,3,0,0,0,0,44547,156497,164134,85530,130406,154351,128335,46819,92578,115700,119863,90353,0
46,472366,1,1,1,60,1,0,0,0,2,0,0,54620,157757,75713,21563,125150,142633,1969,73770,164827,76559,156104,151353,0
47,85725,1,4,2,53,-2,-2,0,0,1,-2,0,146389,112855,191533,170413,157087,197133,43753,158038,40390,10699,168918,28671,0
48,149981,1,1,1,29,0,0,-2,0,0,0,-2,115608,155650,75418,115672,33320,88397,135542,190961,23711,196133,190546,122811,0
49,104654,1,1,2,63,5,-1,2,1,3,0,0,7564,159903,197744,136848,64881,180225,121863,158059,91658,9715,44936,182503,0
50,973277,2,3,1,59,0,0,1,0,2,-1,1,158417,7906,128232,167516,90827,33142,10225,78714,57993,19169,160866,127734,0
51,925778,1,3,1,49,0,0,1,0,0,2,-1,113824,61413,165904,199988,102215,26916,123008,189420,158285,118413,192660,159674,0
52,611723,2,2,3,62,1,1,0,6,0,0,1,79273,54028,163038,139783,157361,64324,154268,24596,188856,147235,181403,51399,0
53,339030,1,4,3,46,0,1,0,1,0,0,0,74859,7287,144059,82970,134461,176037,105823,164246,7421,119264,28141,154544,1
54,348947,2,3,1,55,0,0,-2,0,1,0,0,110017,33660,168383,85553,156755,125932,13669,64106,17727,5782,140146,180302,0
55,575839,1,1,1,45,5,6,0,0,-2,0,0,123618,60504,31575,161779,144701,135720,168452,59182,112418,124481,137478,7099,0
56,922648,1,2,3,44,0,0,0,0,0,0,0,183465,190792,63852,170182,61550,166205,124398,87163,4358,35585,97359,156503,0
57,293538,2,1,3,33,6,0,0,0,2,0,1,197153,102979,132079,192860,24826,181749,110677,39310,65108,30682,123279,56492,0
58,351236,2,1,3,27,4,3,0,0,3,0,0,125341,34701,76242,82879,100734,96059,48320,56088,94018,178936,154363,96722,0
59,548178,2,3,2,56,0,0,4,0,0,3,0,29430,83300,178589,169899,157702,98317,178486,128803,124457,129992,41568,178756,0
60,585894,1,2,1,40,-1,6,0,0,2,5,0,27788,148746,29257,136727,177235,35046,146649,139978,163189,84416,97539,30111,0
61,509492,2,4,3,21,0,-2,0,0,0,0,1,179615,83560,173279,44859,98511,178136,125354,36914,31910,186186,46851,63936,0
62,276840,1,4,1,28,-2,6,2,3,2,0,5,144991,154946,144353,184697,197507,101459,88009,110350,126888,127810,54823,153686,0
63,493254,1,3,2,36,-1,-2,0,-1,0,1,1,69346,43642,61246,52098,11653,45893,186481,45379,55754,38067,23312,173063,0
64,369457,2,3,2,34,1,3,1,0,0,0,0,96122,65160,1435,146323,159033,101520,28625,168722,193510,173757,174180,60920,0
65,685987,2,2,3,32,-1,0,3,0,2,-2,-2,39974,17602,91357,122413,81941,125818,24089,177953,109847,18073,197990,63530,1
66,290936,1,4,2,43,0,6,5,6,0,0,0,107309,103320,157732,526,33662,61272,36487,46413,160443,36035,165243,167296,0
67,259931,1,4,1,35,2,-1,0,0,0,1,0,16371,88801,136156,68760,98818,67649,196910,137084,182573,196049,172851,7788,0
68,259629,2,4,3,48,-2,0,4,0,1,1,-1,45084,25931,144579,47837,187518,64674,110448,181187,192018,90373,199900,28082,0
69,225041,2,1,1,54,2,6,0,6,1,-2,0,160701,94377,83807,11536,152360,144832,50138,7151,38467,83362,98723,123287,1
70,718361,2,4,1,22,0,0,0,3,1,0,0,182256,29192,176611,28541,95081,152999,173895,57716,148697,90517,12411,89570,0
71,751912,1,1,2,52,0,1,0,2,1,0,0,61916,46542,115953,79083,36877,86475,168280,93747,33893,65450,57009,101015,1
72,437113,1,2,2,43,1,1,6,0,0,1,2,73972,127015,138563,182099,111562,61367,54061,167450,76329,10382,146494,83588,0
73,88148,1,1,2,42,1,0,0,0,0,-2,0,193259,42520,181264,34531,146385,143660,161731,173724,31007,135509,173540,147603,0
74,797089,1,2,2,45,3,1,0,1,0,0,-1,12984,64772,123797,8712,72715,121750,101376,144539,170604,195684,32371,88340,1
75,668531,1,4,2,42,1,0,1,4,0,2,1,33039,189834,63888,104101,141398,118154,162962,162082,54253,61929,57022,94439,0
76,271995,1,4,3,42,2,4,0,0,4,0,0,85431,50106,73609,65455,110091,183305,79134,121999,12323,98864,71229,175929,0
77,926606,2,2,1,62,0,-2,-1,0,0,1,1,83691,81121,9077,74744,132632,44738,47055,114793,111335,143401,99071,141214,0
78,698843,1,3,1,26,0,0,0,0,0,0,0,58606,25559,20953,129749,79148,33397,19508,185763,112356,25169,182268,115053,1
79,930790,1,2,1,35,2,5,0,2,0,-1,0,141688,105595,114682,5109,83186,82189,173359,195229,110944,87468,96774,48355,0
80,592843,1,3,1,63,2,3,0,0,5,0,2,102665,33742,67889,49268,157817,76367,158056,108177,145282,34594,26715,140938,0
81,276508,2,1,2,57,6,0,0,0,0,1,2,105373,69669,154893,54615,162962,120585,110169,12289,16456,191703,27605,125426,0
82,823591,1,1,1,53,0,1,1,0,0,3,1,181144,152826,168639,82503,151094,76619,8125,176048,31367,45033,99853,64027,0
83,916942,1,1,3,28,0,0,0,0,0,2,0,24574,135044,115374,160831,123629,111453,36059,174668,54624,63133,31174,188978,0
84,126530,2,4,3,64,2,0,0,0,1,0,0,134502,70831,24860,85708,183651,19816,103409,154243,141178,73861,141028,159210,1
85,624365,1,1,1,64,0,0,3,0,-2,1,0,143748,112217,152267,191184,70316,173312,148159,86365,68008,183362,76373,92601,1
86,842352,1,3,1,25,5,0,0,1,3,0,-1,141888,41873,77475,102471,28380,137348,5704,114014,125926,31750,69252,29956,1
87,480337,1,1,3,59,3,0,1,0,5,0,4,32733,106532,87266,157661,110198,79530,191648,175211,115395,40461,193021,104797,0
88,744839,1,2,3,24,0,-1,0,0,0,3,0,2050,126267,152499,161087,2356,154571,111279,179785,116492,78222,193718,124917,0
89,825889,1,2,2,26,2,6,0,0,1,-2,5,109996,140975,100732,160081,70326,108856,158280,160806,72240,112020,70017,126303,0
90,479773,2,4,3,52,2,6,-2,0,4,-1,0,33933,134092,27083,83309,92447,71635,118516,72588,64315,24226,63037,136511,0
91,228261,2,2,2,50,0,1,0,0,1,0,0,24951,41755,57372,126446,114994,107803,197096,63646,10756,6721,89818,178313,0
92,784469,2,3,2,55,4,0,0,-1,0,-2,0,32413,85956,123786,193118,20049,35946,170954,3654,199083,187226,6548,42533,1
93,361097,1,1,2,60,0,0,0,0,0,0,3,165873,86988,175136,106661,105361,55204,156995,18743,36378,20609,116981,159342,0
94,335139,1,4,2,36,2,2,-1,0,1,0,1,186691,45648,7813,157215,16082,182958,114044,48368,135327,183202,154249,78815,0
95,191829,1,1,2,33,0,1,0,-1,0,0,2,163985,125991,31598,6154,661,15563,29165,137513,145556,130513,24022,39279,0
96,291836,2,1,1,62,3,0,0,6,1,3,1,112573,140588,93106,152876,168484,92324,67203,119735,125703,104211,106297,109787,0
97,458974,1,3,3,50,0,4,0,0,5,2,1,171672,115005,27082,172760,2920,9847,4114,155683,56549,186321,136614,154960,0
98,222283,1,2,2,39,-2,2,0,2,4,0,2,188847,2396,29241,64288,191387,26155,196037,119891,165575,179967,60428,148702,0
99,216769,2,2,3,37,4,5,0,0,0,0,0,166472,84082,175641,51195,79561,79671,36321,107971,73794,136728,153812,61063,0
100,581353,1,1,3,39,-1,1,1,1,0,0,0,135566,150201,11745,20581,8946,116891,73297,12149,45113,124865,59353,127896,0
